Crash Cove
Mystery Caves
Sewer Speedway
Roo's Tubes
Slide Coliseum
Turbo Track
Coco Park
Tiger Temple
Papu's Pyramid
Dingo Canyon
Polar Pass
Tiny Arena
Dragon Mines
Blizzard Bluff
Hot Air Skyway
Cortex Castle
N.Gin Labs
Oxide Station
Inferno Island
Jungle Boogie
Clockwork Wumpa
Android Alley
Electron Avenue
Deep Sea Driving
Thunder Struck
Tiny Temple
Meteor Gorge
Barin Ruins
Out of Time
Assembly Lane
Hyper Spaceway
Twilight Tour
Prehistoric Playground
Spyro Circuit
Nina's Nightmare
Koala Carnival
Gingerbread Joyride
Megamix Mania
Drive-Thru Danger
